model_type,pred_type,filename,model_params,features,accuracy,precision,recall,f1,auc,sensitivity,specificity
lr,CS,ModelResults/lr_CS_auiffd.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'autopsy']",0.8861,0.4603,0.0521,0.0935,0.7177,0.0521,0.9922
lr,MORTALITY,ModelResults/lr_MORTALITY_kaqbxu.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'autopsy']",0.8958,0.0,0.0,0.0,0.5991,0.0,1.0
lr,AMA,ModelResults/lr_AMA_heghhz.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'sentiment']",0.9935,0.0,0.0,0.0,0.877,0.0,1.0
lr,CS,ModelResults/lr_CS_lionug.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'sentiment']",0.8873,0.6923,0.0028,0.0056,0.7065,0.0028,0.9998
lr,MORTALITY,ModelResults/lr_MORTALITY_diubkm.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'sentiment']",0.8958,0.0,0.0,0.0,0.5949,0.0,1.0
lr,AMA,ModelResults/lr_AMA_uszopy.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",0.9935,0.0,0.0,0.0,0.8615,0.0,1.0
lr,CS,ModelResults/lr_CS_eprqtm.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",0.8865,0.4773,0.0592,0.1053,0.7191,0.0592,0.9917
lr,MORTALITY,ModelResults/lr_MORTALITY_bmzsve.txt,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear', 'tol': 0.01}","['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",0.8958,0.0,0.0,0.0,0.6148,0.0,1.0
gbm,AMA,ModelResults/gbm_AMA_adtwet.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender']",0.9934,0.2322,0.0143,0.0265,0.8812,0.0143,0.9998
gbm,CS,ModelResults/gbm_CS_lfkfta.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender']",0.8874,0.5079,0.0618,0.1096,0.7511,0.0618,0.9924
gbm,MORTALITY,ModelResults/gbm_MORTALITY_ygjcks.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender']",0.9008,0.6851,0.0934,0.1637,0.6921,0.0934,0.9947
gbm,AMA,ModelResults/gbm_AMA_uhemnb.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'race']",0.9935,0.6208,0.0289,0.0547,0.8786,0.0289,0.9999
gbm,CS,ModelResults/gbm_CS_eonupg.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'race']",0.8877,0.5167,0.0609,0.1084,0.7512,0.0609,0.9929
gbm,MORTALITY,ModelResults/gbm_MORTALITY_fgoutm.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'race']",0.9016,0.699,0.0986,0.1727,0.6965,0.0986,0.995
gbm,AMA,ModelResults/gbm_AMA_jypkwq.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'noncompliant']",0.9926,0.1863,0.0247,0.0421,0.8721,0.0247,0.999
gbm,CS,ModelResults/gbm_CS_yjcdek.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'noncompliant']",0.8877,0.529,0.0458,0.0842,0.7536,0.0458,0.9948
gbm,MORTALITY,ModelResults/gbm_MORTALITY_tpaisf.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'noncompliant']",0.9014,0.675,0.1037,0.1796,0.7105,0.1037,0.9942
gbm,AMA,ModelResults/gbm_AMA_veqvny.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'autopsy']",0.993,0.0935,0.0088,0.0159,0.8767,0.0088,0.9994
gbm,CS,ModelResults/gbm_CS_lsfztd.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'autopsy']",0.8875,0.5117,0.0546,0.0986,0.7613,0.0546,0.9934
gbm,MORTALITY,ModelResults/gbm_MORTALITY_obbubo.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'autopsy']",0.9013,0.6851,0.0993,0.1733,0.7014,0.0993,0.9946
gbm,AMA,ModelResults/gbm_AMA_eyltfi.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'sentiment']",0.9932,0.2366,0.0174,0.0318,0.8676,0.0174,0.9996
gbm,CS,ModelResults/gbm_CS_zmlqxz.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'sentiment']",0.8877,0.5233,0.0593,0.1065,0.7547,0.0593,0.9931
gbm,MORTALITY,ModelResults/gbm_MORTALITY_kmreeo.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'sentiment']",0.9014,0.6693,0.1069,0.1841,0.7265,0.1069,0.9938
gbm,AMA,ModelResults/gbm_AMA_fjltzo.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",0.9924,0.0838,0.0143,0.0242,0.8692,0.0143,0.9989
gbm,CS,ModelResults/gbm_CS_flanvb.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",0.8882,0.5449,0.0598,0.1077,0.7654,0.0598,0.9936
gbm,MORTALITY,ModelResults/gbm_MORTALITY_tmrwwn.txt,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 3, 'random_state': 1}","['age', 'los', 'insurance', 'gender', 'race', 'noncompliant', 'autopsy', 'sentiment']",0.9028,0.7088,0.1137,0.1957,0.7579,0.1137,0.9946
